,cell_specimen_id,tld1_name,imaging_depth,pref_ori_sg,pref_sf_sg,g_osi_sg,responsive_sg,depth_range,pref_phase_sg
273,570928519,Emx1-IRES-Cre,175.0,60.0,0.16,0.690741206017,True,100.0,0.0
274,662269687,Rorb-IRES2-Cre,275.0,150.0,0.02,0.789551519409,False,200.0,0.0
275,662270222,Rorb-IRES2-Cre,275.0,150.0,0.02,0.310034306753,True,200.0,0.75
277,662269630,Rorb-IRES2-Cre,275.0,60.0,0.04,0.570987996346,False,200.0,0.0
278,662269659,Rorb-IRES2-Cre,275.0,150.0,0.08,0.820618602773,False,200.0,0.0
280,662269801,Rorb-IRES2-Cre,275.0,150.0,0.02,0.369852511064,True,200.0,0.0
281,662269018,Rorb-IRES2-Cre,275.0,30.0,0.02,0.593623732187,False,200.0,0.5
283,662270164,Rorb-IRES2-Cre,275.0,60.0,0.16,0.409310100394,True,200.0,0.75
287,662269867,Rorb-IRES2-Cre,275.0,0.0,0.04,0.668543270714,False,200.0,0.5
288,662269853,Rorb-IRES2-Cre,275.0,0.0,0.04,0.862684419103,False,200.0,0.0
289,662270151,Rorb-IRES2-Cre,275.0,150.0,0.16,0.495754919587,False,200.0,0.25
290,662268856,Rorb-IRES2-Cre,275.0,30.0,0.04,0.923393257609,True,200.0,0.75
291,662269296,Rorb-IRES2-Cre,275.0,90.0,0.16,0.79834995655,False,200.0,0.5
292,662269282,Rorb-IRES2-Cre,275.0,90.0,0.32,0.554382480756,False,200.0,0.75
293,662269832,Rorb-IRES2-Cre,275.0,120.0,0.04,0.657277150986,False,200.0,0.25
295,662270158,Rorb-IRES2-Cre,275.0,90.0,0.04,0.622944732761,True,200.0,0.5
296,662269032,Rorb-IRES2-Cre,275.0,0.0,0.02,0.725328662604,False,200.0,0.5
297,662268997,Rorb-IRES2-Cre,275.0,30.0,0.02,0.929158273686,True,200.0,0.75
298,662268990,Rorb-IRES2-Cre,275.0,0.0,0.04,0.453877608319,False,200.0,0.75
300,662268983,Rorb-IRES2-Cre,275.0,60.0,0.02,0.746759202856,False,200.0,0.25
301,662269011,Rorb-IRES2-Cre,275.0,0.0,0.02,0.735596556718,True,200.0,0.5
305,662269638,Rorb-IRES2-Cre,275.0,0.0,0.04,0.531506022902,False,200.0,0.5
306,662269134,Rorb-IRES2-Cre,275.0,0.0,0.02,0.694107011919,True,200.0,0.5
307,662269590,Rorb-IRES2-Cre,275.0,60.0,0.02,0.618715617194,True,200.0,0.0
308,662269623,Rorb-IRES2-Cre,275.0,90.0,0.04,0.462731218587,False,200.0,0.5
309,662269933,Rorb-IRES2-Cre,275.0,60.0,0.08,0.692881798212,False,200.0,0.5
310,662268878,Rorb-IRES2-Cre,275.0,150.0,0.08,0.442816648466,False,200.0,0.25
311,662269113,Rorb-IRES2-Cre,275.0,30.0,0.32,0.611551759679,False,200.0,0.5
312,662269808,Rorb-IRES2-Cre,275.0,150.0,0.04,0.444362793262,False,200.0,0.75
316,662269652,Rorb-IRES2-Cre,275.0,90.0,0.02,0.722180375174,False,200.0,0.0
317,662269746,Rorb-IRES2-Cre,275.0,150.0,0.08,0.476255722312,False,200.0,0.0
323,662269680,Rorb-IRES2-Cre,275.0,90.0,0.02,0.441225207562,True,200.0,0.25
324,662269673,Rorb-IRES2-Cre,275.0,0.0,0.04,0.598817368854,False,200.0,0.75
325,662269666,Rorb-IRES2-Cre,275.0,120.0,0.16,0.362533148944,False,200.0,0.5
326,662268828,Rorb-IRES2-Cre,275.0,30.0,0.02,0.243483151084,False,200.0,0.25
327,662270099,Rorb-IRES2-Cre,275.0,120.0,0.04,0.260805209965,False,200.0,0.5
328,662269463,Rorb-IRES2-Cre,275.0,30.0,0.16,0.634076672832,False,200.0,0.0
329,662270137,Rorb-IRES2-Cre,275.0,90.0,0.02,0.667207256255,False,200.0,0.25
